epoch: 80	 loss: -316.49725	 return: -100.32356293568742	 episode_length: 13.92
epoch: 81	 loss: -321.50104	 return: -103.8118250020429	 episode_length: 13.12
epoch: 82	 loss: -324.5983	 return: -104.60184803561769	 episode_length: 13.98
epoch: 83	 loss: -325.33798	 return: -104.22127291099463	 episode_length: 13.7
epoch: 84	 loss: -308.35364	 return: -99.75903354498968	 episode_length: 13.88
epoch: 85	 loss: -312.02975	 return: -100.28076988337851	 episode_length: 14.1
epoch: 86	 loss: -321.8604	 return: -104.2961213039228	 episode_length: 14.36
epoch: 87	 loss: -314.64917	 return: -100.24265335303905	 episode_length: 13.74
epoch: 88	 loss: -334.34442	 return: -106.33237371038844	 episode_length: 14.26
epoch: 89	 loss: -327.27484	 return: -105.0397478537986	 episode_length: 14.38
epoch: 90	 loss: -328.00714	 return: -105.2005244210364	 episode_length: 14.1
epoch: 91	 loss: -324.0691	 return: -104.43890695213199	 episode_length: 13.94
epoch: 92	 loss: -306.52905	 return: -100.23657811366051	 episode_length: 13.44
epoch: 93	 loss: -330.78284	 return: -104.85120560960057	 episode_length: 13.9
epoch: 94	 loss: -325.50653	 return: -104.2091340318288	 episode_length: 13.62
epoch: 95	 loss: -311.55487	 return: -99.91006017181948	 episode_length: 13.04
epoch: 96	 loss: -309.7213	 return: -99.64755326631064	 episode_length: 13.76
epoch: 97	 loss: -313.71164	 return: -100.52897415333466	 episode_length: 13.6
epoch: 98	 loss: -334.71194	 return: -105.39548674391382	 episode_length: 14.9
epoch: 99	 loss: -292.56494	 return: -92.07745989160213	 episode_length: 13.1
epoch: 100	 loss: -322.28986	 return: -104.04851457263301	 episode_length: 14.2
epoch: 101	 loss: -320.8914	 return: -104.09719981526257	 episode_length: 14.1
epoch: 102	 loss: -314.8219	 return: -100.5657918576463	 episode_length: 14.78
epoch: 103	 loss: -312.35104	 return: -99.99004833134863	 episode_length: 13.62
epoch: 104	 loss: -313.82126	 return: -97.73150084111084	 episode_length: 14.18
epoch: 105	 loss: -300.12338	 return: -96.32883519468474	 episode_length: 13.82
epoch: 106	 loss: -320.8773	 return: -103.62740643770375	 episode_length: 13.0
epoch: 107	 loss: -309.02072	 return: -99.92345986923485	 episode_length: 14.36
epoch: 108	 loss: -321.45358	 return: -103.960219536251	 episode_length: 13.26
epoch: 109	 loss: -325.4546	 return: -103.81547530904099	 episode_length: 13.26
epoch: 110	 loss: -314.17282	 return: -100.74566027255352	 episode_length: 14.44
epoch: 111	 loss: -314.52777	 return: -100.74337454960764	 episode_length: 13.88
epoch: 112	 loss: -311.76364	 return: -100.12511681627298	 episode_length: 14.08
epoch: 113	 loss: -313.33746	 return: -100.41343480597867	 episode_length: 13.86
epoch: 114	 loss: -318.3232	 return: -103.43710221689584	 episode_length: 12.94
epoch: 115	 loss: -327.63248	 return: -104.76355610012328	 episode_length: 14.54
epoch: 116	 loss: -320.17154	 return: -104.42760558301032	 episode_length: 13.96
epoch: 117	 loss: -315.2486	 return: -100.62813351663925	 episode_length: 13.68
epoch: 118	 loss: -314.41693	 return: -100.34481467997887	 episode_length: 13.62
epoch: 119	 loss: -320.78107	 return: -101.71921218062789	 episode_length: 14.66
epoch: 120	 loss: -318.04736	 return: -100.49504617646991	 episode_length: 13.6
epoch: 121	 loss: -312.47394	 return: -100.05015998193421	 episode_length: 13.54
epoch: 122	 loss: -308.0593	 return: -99.88590422822516	 episode_length: 13.0
epoch: 123	 loss: -324.8243	 return: -104.13753162290753	 episode_length: 13.94
epoch: 124	 loss: -321.50797	 return: -103.89783291128924	 episode_length: 13.42
epoch: 125	 loss: -322.17505	 return: -103.79929971493853	 episode_length: 13.74
epoch: 126	 loss: -312.55197	 return: -99.99059380312474	 episode_length: 13.66
epoch: 127	 loss: -325.54678	 return: -104.51459462017534	 episode_length: 14.22
epoch: 128	 loss: -328.04193	 return: -104.95880583445194	 episode_length: 14.56
epoch: 129	 loss: -326.90182	 return: -104.48512156521346	 episode_length: 14.42
epoch: 130	 loss: -319.44278	 return: -103.48484993927327	 episode_length: 12.66
epoch: 131	 loss: -324.53357	 return: -104.72995004485112	 episode_length: 14.3
epoch: 132	 loss: -312.30106	 return: -100.18755346366137	 episode_length: 14.52
epoch: 133	 loss: -322.349	 return: -104.50899384372893	 episode_length: 13.88
epoch: 134	 loss: -311.71613	 return: -100.35850042485202	 episode_length: 13.66
epoch: 135	 loss: -330.2781	 return: -104.88894611314086	 episode_length: 14.1
epoch: 136	 loss: -329.7247	 return: -105.31190702953636	 episode_length: 14.1
epoch: 137	 loss: -321.59048	 return: -104.18496782092599	 episode_length: 13.7
epoch: 138	 loss: -322.13358	 return: -104.68287626568477	 episode_length: 13.84
epoch: 139	 loss: -319.80106	 return: -103.28273519260222	 episode_length: 12.96
epoch: 140	 loss: -323.32126	 return: -104.07120181218755	 episode_length: 13.58
epoch: 141	 loss: -308.75916	 return: -99.49179294176287	 episode_length: 13.36
epoch: 142	 loss: -314.9282	 return: -100.90978651423512	 episode_length: 13.58
epoch: 143	 loss: -324.73175	 return: -104.26150646966055	 episode_length: 13.04
epoch: 144	 loss: -309.9655	 return: -100.53491109317397	 episode_length: 13.76
